====================================================================================================================
|  #  |    SYMBOL    |      TYPE      |                                VALUE                                | LINE |
|=====|==============|================|=====================================================================|======|
|  1  |  Mainprogram |        Program |                                                         Mainprogram |    2 |
|  2  |        Start |          Start |                                                               Start |    3 |
|  3  |         Data |           Vars |                                                                Data |    4 |
|  4  |    Integer16 |        VarType |                                                           Integer16 |    4 |
|  5  |              |     Identifier |                                                             _aaaaaa |    4 |
|  6  |            , |          Comma |                                                                   , |    4 |
|  7  |              |     Identifier |                                                             _bbbbbb |    4 |
|  8  |            , |          Comma |                                                                   , |    4 |
|  9  |              |     Identifier |                                                             _xxxxxx |    4 |
|  10 |            , |          Comma |                                                                   , |    4 |
|  11 |              |     Identifier |                                                             _yyyyyy |    4 |
|  12 |            ; |      Semicolon |                                                                   ; |    4 |
|  13 |        Write |          Write |                                                               Write |    5 |
|  14 |            ( |        LBraket |                                                                   ( |    5 |
|  15 |              |         String |                                                      Read _aaaaaa:  |    5 |
|  16 |            ) |        RBraket |                                                                   ) |    5 |
|  17 |            ; |      Semicolon |                                                                   ; |    5 |
|  18 |         Read |           Read |                                                                Read |    6 |
|  19 |            ( |        LBraket |                                                                   ( |    6 |
|  20 |              |     Identifier |                                                             _aaaaaa |    6 |
|  21 |            ) |        RBraket |                                                                   ) |    6 |
|  22 |            ; |      Semicolon |                                                                   ; |    6 |
|  23 |        Write |          Write |                                                               Write |    7 |
|  24 |            ( |        LBraket |                                                                   ( |    7 |
|  25 |              |         String |                                                      Read _bbbbbb:  |    7 |
|  26 |            ) |        RBraket |                                                                   ) |    7 |
|  27 |            ; |      Semicolon |                                                                   ; |    7 |
|  28 |         Read |           Read |                                                                Read |    8 |
|  29 |            ( |        LBraket |                                                                   ( |    8 |
|  30 |              |     Identifier |                                                             _bbbbbb |    8 |
|  31 |            ) |        RBraket |                                                                   ) |    8 |
|  32 |            ; |      Semicolon |                                                                   ; |    8 |
|  33 |        Write |          Write |                                                               Write |    9 |
|  34 |            ( |        LBraket |                                                                   ( |    9 |
|  35 |              |         String |                                                 _aaaaaa + _bbbbbb:  |    9 |
|  36 |            ) |        RBraket |                                                                   ) |    9 |
|  37 |            ; |      Semicolon |                                                                   ; |    9 |
