============================================================
|  #  |    SYMBOL    |    TYPE    |      VALUE      | LINE |
|=====|==============|============|=================|======|
|  1  |  Mainprogram |    Program |     Mainprogram |    2 |
|  2  |        Start |      Start |           Start |    3 |
|  3  |         Data |       Vars |            Data |    4 |
|  4  |    Integer16 |    VarType |       Integer16 |    4 |
|  5  |              | Identifier |         _aaaaaa |    4 |
|  6  |            , |      Comma |               , |    4 |
|  7  |              | Identifier |         _bbbbbb |    4 |
|  8  |            , |      Comma |               , |    4 |
|  9  |              | Identifier |         _cccccc |    4 |
|  10 |            ; |  Semicolon |               ; |    4 |
|  11 |        Write |      Write |           Write |    5 |
|  12 |            ( |    LBraket |               ( |    5 |
|  13 |              |     String |  Read _aaaaaa:  |    5 |
|  14 |            ) |    RBraket |               ) |    5 |
|  15 |            ; |  Semicolon |               ; |    5 |
|  16 |         Read |       Read |            Read |    6 |
|  17 |            ( |    LBraket |               ( |    6 |
|  18 |              | Identifier |         _aaaaaa |    6 |
|  19 |            ) |    RBraket |               ) |    6 |
|  20 |            ; |  Semicolon |               ; |    6 |
|  21 |        Write |      Write |           Write |    7 |
|  22 |            ( |    LBraket |               ( |    7 |
|  23 |              |     String |  Read _bbbbbb:  |    7 |
|  24 |            ) |    RBraket |               ) |    7 |
|  25 |            ; |  Semicolon |               ; |    7 |
|  26 |         Read |       Read |            Read |    8 |
|  27 |            ( |    LBraket |               ( |    8 |
|  28 |              | Identifier |         _bbbbbb |    8 |
|  29 |            ) |    RBraket |               ) |    8 |
|  30 |            ; |  Semicolon |               ; |    8 |
|  31 |        Write |      Write |           Write |    9 |
|  32 |            ( |    LBraket |               ( |    9 |
|  33 |              |     String |  Read _cccccc:  |    9 |
|  34 |            ) |    RBraket |               ) |    9 |
|  35 |            ; |  Semicolon |               ; |    9 |
|  36 |         Read |       Read |            Read |   10 |
|  37 |            ( |    LBraket |               ( |   10 |
|  38 |              | Identifier |         _cccccc |   10 |
|  39 |            ) |    RBraket |               ) |   10 |
|  40 |            ; |  Semicolon |               ; |   10 |
|  41 |           If |         If |              If |   11 |
|  42 |            ( |    LBraket |               ( |   11 |
|  43 |              | Identifier |         _aaaaaa |   11 |
