====================================================================================
|  #  |    SYMBOL    |      TYPE      |                VALUE                | LINE |
|=====|==============|================|=====================================|======|
|  1  |  Mainprogram |        Program |                         Mainprogram |    2 |
|  2  |        Start |          Start |                               Start |    3 |
|  3  |         Data |           Vars |                                Data |    4 |
|  4  |    Integer16 |        VarType |                           Integer16 |    4 |
|  5  |              |     Identifier |                             _aaaaaa |    4 |
|  6  |            , |          Comma |                                   , |    4 |
|  7  |              |     Identifier |                             _aaaaa2 |    4 |
|  8  |            , |          Comma |                                   , |    4 |
|  9  |              |     Identifier |                             _bbbbbb |    4 |
|  10 |            , |          Comma |                                   , |    4 |
|  11 |              |     Identifier |                             _xxxxxx |    4 |
|  12 |            , |          Comma |                                   , |    4 |
|  13 |              |     Identifier |                             _ccccc1 |    4 |
|  14 |            , |          Comma |                                   , |    4 |
|  15 |              |     Identifier |                             _ccccc2 |    4 |
|  16 |            ; |      Semicolon |                                   ; |    4 |
|  17 |        Write |          Write |                               Write |    5 |
|  18 |            ( |        LBraket |                                   ( |    5 |
|  19 |              |         String |                      Read _aaaaaa:  |    5 |
|  20 |            ) |        RBraket |                                   ) |    5 |
|  21 |            ; |      Semicolon |                                   ; |    5 |
|  22 |         Read |           Read |                                Read |    6 |
|  23 |            ( |        LBraket |                                   ( |    6 |
|  24 |              |     Identifier |                             _aaaaaa |    6 |
|  25 |            ) |        RBraket |                                   ) |    6 |
|  26 |            ; |      Semicolon |                                   ; |    6 |
|  27 |        Write |          Write |                               Write |    7 |
|  28 |            ( |        LBraket |                                   ( |    7 |
|  29 |              |         String |                      Read _bbbbbb:  |    7 |
|  30 |            ) |        RBraket |                                   ) |    7 |
|  31 |            ; |      Semicolon |                                   ; |    7 |
|  32 |         Read |           Read |                                Read |    8 |
|  33 |            ( |        LBraket |                                   ( |    8 |
|  34 |              |     Identifier |                             _bbbbbb |    8 |
|  35 |            ) |        RBraket |                                   ) |    8 |
|  36 |            ; |      Semicolon |                                   ; |    8 |
|  37 |        Write |          Write |                               Write |    9 |
|  38 |            ( |        LBraket |                                   ( |    9 |
|  39 |              |         String |                           For To do |    9 |
|  40 |            ) |        RBraket |                                   ) |    9 |
